Features,importance
D978,0.0008237119205840354
D1008,0.0008209212133182828
D763,0.0008175054697855619
D673,0.0008173611369420215
D470,0.0008147236579200543
D810,0.0008145623173831026
D118,0.0008121685193433805
D167,0.0008088988235276796
D688,0.0008028495394806003
D516,0.0008003789837415725
D1309,0.0007952599665265217
D386,0.0007937881952728641
D147,0.0007875429537640194
D901,0.0007827230527047776
D1017,0.0007719159830382117
D1113,0.0007717926283185221
D154,0.000764957250576203
D775,0.000762974542213946
D742,0.0007524578985600263
D811,0.0007453984094770489
D954,0.000737255972654404
D891,0.0007356492779389663
D750,0.0007312057302838097
D444,0.0007211779935938157
D37,0.0007198885600181847
D1074,0.0007181637452673055
D417,0.0007138786345522817
D955,0.0007113371135028421
D132,0.0007100725764951761
D1076,0.0007004134217303994
D699,0.0006986476828713241
D1050,0.0006974103796807671
D156,0.000687215558132474
D608,0.0006869650927131703
D960,0.0006868433088122602
D77,0.0006712795769486535
D765,0.0006662684607674097
D1067,0.0006657354530251477
D1196,0.0006587244655549085
D1018,0.0006574673157701177
D1059,0.00065683787026431
D460,0.0006550529156664829
D249,0.0006509996593973945
D1055,0.0006499514915799424
D791,0.0006467541544185871
D492,0.0006460939174803337
D958,0.0006413747232933158
D1083,0.0006361981037801103
D445,0.0006351011837079003
D751,0.0006339075789243159
D1040,0.0006337522666220772
D1039,0.0006336987132910474
D973,0.0006324309759932891
D1078,0.0006300364288617283
D1168,0.0006291614926447658
D163,0.0006254873387172669
D1026,0.0006230163528159973
D976,0.0006203085361669076
D312,0.000618224744554067
D1009,0.0006181584842266621
D474,0.000617295995281721
D1390,0.0006161104787841999
D310,0.000611797033369279
D977,0.0006095605824940649
D625,0.0006090266211134687
D913,0.0006089232709540504
D624,0.00060662279160134
D687,0.0006007126361535619
D110,0.0005973318997378941
D928,0.0005964604857965158
D517,0.0005928622166732
D992,0.0005924984623308404
D967,0.0005913458280933357
D373,0.0005906766413461671
D996,0.0005899178608778804
D1011,0.0005869668414214207
D953,0.0005858273622605018
D140,0.0005858053793511298
